workout_log_id,member_id,workout_date,workout_time,exercise_name,exercise_type,muscle_group,difficulty,sets_completed,reps_per_set,weight_kg,duration_minutes,calories_burned,intensity_level,heart_rate_avg,notes
WL00000001,MEM001448,2024-02-05,20:46:00,Barbell back squat to box,powerlifting,quadriceps,intermediate,3,10,0.0,88,683.1,Very High,130.0,
WL00000002,MEM000585,2024-08-10,14:12:00,EZ-Bar Skullcrusher,strength,triceps,intermediate,5,13,29.9,48,215.3,High,138.0,Personal best!
WL00000003,MEM000234,2024-08-24,08:21:00,T-Bar Row,strength,middle_back,intermediate,5,8,92.5,63,303.0,Very High,139.0,Felt strong today
WL00000004,MEM000645,2024-09-22,06:48:00,Axle Deadlift,strongman,lower_back,beginner,2,19,0.0,35,212.3,Moderate,134.0,Personal best!
WL00000005,MEM002003,2024-11-27,20:37:00,Groiners,stretching,adductors,beginner,2,16,0.0,52,188.6,Very High,106.0,
WL00000006,MEM000377,2024-01-16,16:30:00,Machine Shrug - Gethin Variation,strength,traps,intermediate,2,15,46.6,23,117.2,Moderate,161.0,Challenging but rewarding
WL00000007,MEM001432,2024-03-06,09:08:00,Glute Bridge Hamstring Walkout,strength,glutes,intermediate,4,20,29.3,63,407.8,High,133.0,Personal best!
WL00000008,MEM000682,2024-03-19,07:45:00,Pullups,strength,lats,intermediate,2,9,64.8,44,143.7,High,180.0,Great workout!
WL00000009,MEM000964,2024-02-21,08:48:00,Dumbbell farmer's walk,strongman,forearms,intermediate,4,8,0.0,74,311.4,Very High,123.0,Felt strong today
WL00000010,MEM000012,2024-07-21,15:26:00,Reverse Band Box Squat,powerlifting,quadriceps,intermediate,4,20,0.0,23,98.7,Low,101.0,
WL00000011,MEM001646,2024-02-03,15:39:00,Neck Bridge Prone,strength,neck,beginner,4,8,138.2,43,175.7,High,157.0,Good progress
WL00000012,MEM000301,2024-03-24,15:39:00,Barbell Deadlift,strength,hamstrings,intermediate,3,15,83.1,46,329.8,Very High,153.0,
WL00000013,MEM000435,2024-09-03,05:50:00,EZ-Bar Curl,strength,biceps,intermediate,5,18,140.5,60,254.8,Moderate,121.0,Challenging but rewarding
WL00000014,MEM002341,2024-03-24,05:02:00,Close-grip bench press,strength,chest,intermediate,4,13,110.6,45,225.6,Moderate,118.0,Personal best!
WL00000015,MEM000042,2024-10-15,19:26:00,EZ-bar spider curl,strength,biceps,intermediate,2,15,10.5,22,113.6,Low,139.0,Good progress
WL00000016,MEM000576,2024-03-15,06:45:00,Flexor Incline Dumbbell Curls,strength,biceps,beginner,5,14,75.9,56,257.1,High,122.0,
